Experiment,Kamera,NVS_lD,SceneID,weight,Basisszenario,FS-Art,besondere Merkmale,FS-Breite,Parken,Verkehrsaufkommen,raus
SE,A,65,01_SE_A_65,6,4,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,nein,autofrei,
SE,A,66,01_SE_A_66,6,4,Einbahnstraße-Gegenverkehr,-,schmal,nein,normal,
SE,A,67,01_SE_A_67,6,4,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,nein,normal,
SE,A,68,01_SE_A_68,6,4,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,nein,normal,
SE,A,69,01_SE_A_69,6,4,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,nein,normal,
SE,A,71,01_SE_A_71,6,5,Einbahnstraße,-,schmal,Parken-einseitig,normal,
SE,A,72,01_SE_A_72,6,5,Einbahnstraße,Fahrradstraße,schmal,Parken-einseitig,normal,
SE,A,73,01_SE_A_73,6,5,Einbahnstraße,Spielstraße,schmal,Parken-einseitig,normal,
SE,A,74,01_SE_A_74,6,5,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,Parken-einseitig,normal,
SE,A,75,01_SE_A_75,6,5,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,Parken-einseitig,autofrei,
SE,A,76,01_SE_A_76,6,5,Einbahnstraße-Gegenverkehr,-,schmal,Parken-einseitig,normal,
SE,A,77,01_SE_A_77,6,5,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,Parken-einseitig,normal,
SE,A,78,01_SE_A_78,6,5,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,Parken-einseitig,normal,
SE,A,79,01_SE_A_79,6,5,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,Parken-einseitig,normal,
SE,A,81,01_SE_A_81,6,6,Einbahnstraße,-,schmal,Parken-beidseitig,normal,
SE,A,82,01_SE_A_82,6,6,Einbahnstraße,Fahrradstraße,schmal,Parken-beidseitig,normal,
SE,A,83,01_SE_A_83,6,6,Einbahnstraße,Spielstraße,schmal,Parken-beidseitig,normal,
SE,A,84,01_SE_A_84,6,6,Einbahnstraße,Fahrradstraße-Sondermarkierung,schmal,Parken-beidseitig,normal,
SE,A,85,01_SE_A_85,6,6,Einbahnstraße,Fahrradstraße-Hollandaise,schmal,Parken-beidseitig,autofrei,
SE,A,86,01_SE_A_86,6,6,Einbahnstraße-Gegenverkehr,-,schmal,Parken-beidseitig,normal,
SE,A,87,01_SE_A_87,6,6,Einbahnstraße-Gegenverkehr,Fahrradstraße,schmal,Parken-beidseitig,normal,
SE,A,88,01_SE_A_88,6,6,Einbahnstraße-Gegenverkehr,Spielstraße,schmal,Parken-beidseitig,normal,
SE,A,89,01_SE_A_89,6,6,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,schmal,Parken-beidseitig,normal,
